artist,black,female
Aretha Franklin,TRUE,TRUE
Public Enemy,TRUE,FALSE
Sam Cooke,TRUE,FALSE
Bob Dylan,FALSE,FALSE
Nirvana,FALSE,FALSE
Marvin Gaye,TRUE,FALSE
The Beatles,FALSE,FALSE
Missy Elliott,TRUE,TRUE
Fleetwood Mac,FALSE,FALSE
Outkast,TRUE,FALSE
The Beach Boys,FALSE,FALSE
Stevie Wonder,TRUE,FALSE
The Rolling Stones,FALSE,FALSE
The Kinks,FALSE,FALSE
Beyoncé feat. Jay-Z,TRUE,TRUE
Queen,FALSE,FALSE
Prince and the Revolution,TRUE,FALSE
John Lennon,FALSE,FALSE
Robyn,FALSE,TRUE
Billie Holiday,TRUE,TRUE
The Ronettes,TRUE,TRUE
David Bowie,FALSE,FALSE
Kanye West feat. Pusha T,TRUE,FALSE
Joni Mitchell,FALSE,TRUE
Bruce Springsteen,FALSE,FALSE
Talking Heads,FALSE,FALSE
Dr. Dre feat. Snoop Doggy Dogg,TRUE,FALSE
Lorde,FALSE,TRUE
Notorious B.I.G.,TRUE,FALSE
Chuck Berry,TRUE,FALSE
James Brown,TRUE,FALSE
Little Richard,TRUE,FALSE
The White Stripes,FALSE,TRUE
Otis Redding,TRUE,FALSE
The Jimi Hendrix Experience,TRUE,FALSE
Joy Division,FALSE,FALSE
Bob Marley and the Wailers,TRUE,FALSE
The Temptations,TRUE,FALSE
Michael Jackson,FALSE,FALSE
Kendrick Lamar,TRUE,FALSE
M.I.A.,FALSE,TRUE
Elton John,FALSE,FALSE
Radiohead,FALSE,FALSE
Lauryn Hill,TRUE,TRUE
Daddy Yankee feat. Glory,FALSE,FALSE
Dionne Warwick,TRUE,TRUE
Donna Summer,TRUE,TRUE
Smokey Robinson and the Miracles,TRUE,FALSE
Madonna,FALSE,TRUE
Sly and the Family Stone,TRUE,FALSE
The Band,FALSE,FALSE
Grandmaster Flash and the Furious Five,TRUE,FALSE
Kate Bush,FALSE,TRUE
Led Zeppelin,FALSE,FALSE
U2,FALSE,FALSE
Dolly Parton,FALSE,TRUE
Ramones,FALSE,FALSE
"Earth, Wind, and Fire",TRUE,FALSE
Simon and Garfunkel,FALSE,FALSE
Chic,TRUE,TRUE
Taylor Swift,FALSE,TRUE
Elvis Presley,FALSE,FALSE
Tracy Chapman,TRUE,TRUE
Beyoncé,TRUE,TRUE
Leonard Cohen,FALSE,FALSE
Pulp,FALSE,FALSE
Johnny Cash,FALSE,FALSE
The Modern Lovers,FALSE,FALSE
The Four Tops,TRUE,FALSE
Amy Winehouse,FALSE,TRUE
Ray Charles,TRUE,FALSE
The Velvet Underground,FALSE,FALSE
Adele,FALSE,TRUE
Al Green,TRUE,FALSE
Prince,TRUE,FALSE
LCD Soundsystem,FALSE,FALSE
Guns N' Roses,FALSE,FALSE
UGK feat. Outkast,TRUE,FALSE
Kelly Clarkson,FALSE,TRUE
Whitney Houston,TRUE,TRUE
Oasis,FALSE,FALSE
Jay-Z,TRUE,FALSE
Patti Smith,FALSE,TRUE
Bee Gees,FALSE,FALSE
Yeah Yeah Yeahs,FALSE,FALSE
Alanis Morissette,FALSE,TRUE
The Jackson 5,TRUE,FALSE
Wu-Tang Clan,TRUE,FALSE
The Cure,FALSE,FALSE
R.E.M.,FALSE,FALSE
Britney Spears,FALSE,TRUE
Etta James,TRUE,TRUE
Rob Base and DJ E-Z Rock,TRUE,FALSE
X-Ray Spex,FALSE,FALSE
The Impressions,TRUE,FALSE
Buddy Holly,FALSE,FALSE
Sex Pistols,FALSE,FALSE
George Michael,FALSE,FALSE
TLC,TRUE,FALSE
Drake feat. Majid Jordan,TRUE,FALSE
Martha and the Vandellas,TRUE,TRUE
Ben E. King,TRUE,FALSE
Eric B. and Rakim,TRUE,FALSE
Journey,FALSE,FALSE
Tina Turner,TRUE,TRUE
Ariana Grande,FALSE,TRUE
Blondie,FALSE,FALSE
Rod Stewart,FALSE,FALSE
George Jones,FALSE,FALSE
The Clash,FALSE,FALSE
James Taylor,FALSE,FALSE
Fats Domino,TRUE,FALSE
Green Day,FALSE,FALSE
The Shirelles,TRUE,TRUE
Creedence Clearwater Revival,FALSE,FALSE
Rick James,TRUE,FALSE
Howlin’ Wolf,TRUE,FALSE
The Strokes,FALSE,FALSE
The Kingsmen,FALSE,FALSE
Sonic Youth,FALSE,FALSE
The Meters,TRUE,FALSE
The Who,FALSE,FALSE
Nick Drake,FALSE,FALSE
Hank Williams,FALSE,FALSE
Mott the Hoople,FALSE,FALSE
Eminem,FALSE,FALSE
Dusty Springfield,FALSE,TRUE
Tom Petty and the Heartbreakers,FALSE,FALSE
The Five Satins,TRUE,FALSE
Louis Armstrong,TRUE,FALSE
Nina Simone,TRUE,TRUE
Television,FALSE,FALSE
The Flamingos,TRUE,FALSE
Van Halen,FALSE,FALSE
Billie Eilish,FALSE,TRUE
Pink Floyd,FALSE,FALSE
Lou Reed,FALSE,FALSE
The Byrds,FALSE,FALSE
Sinéad O’Connor,FALSE,TRUE
The Staple Singers,TRUE,FALSE
N.W.A,TRUE,FALSE
Bobbie Gentry,FALSE,TRUE
Geto Boys,TRUE,FALSE
PJ Harvey,FALSE,TRUE
Patsy Cline,FALSE,TRUE
Ann Peebles,TRUE,TRUE
Aerosmith,FALSE,FALSE
Glen Campbell,FALSE,FALSE
Rage Against the Machine,FALSE,FALSE
Hole,FALSE,FALSE
Don Henley,FALSE,FALSE
Funkadelic,TRUE,FALSE
Boston,FALSE,FALSE
Steely Dan,FALSE,FALSE
Mobb Deep,TRUE,FALSE
Stevie Nicks,FALSE,TRUE
Wilson Pickett,TRUE,FALSE
Tom Petty,FALSE,FALSE
New Order,FALSE,FALSE
Ike and Tina Turner,TRUE,TRUE
"Crosby, Stills, and Nash",FALSE,FALSE
Eminem feat. Dido,FALSE,FALSE
Derek and the Dominos,FALSE,FALSE
The Smiths,FALSE,FALSE
Woody Guthrie,FALSE,FALSE
Deee-Lite,FALSE,FALSE
The Supremes,TRUE,TRUE
Bill Withers,TRUE,FALSE
Aaliyah,TRUE,TRUE
Big Star,FALSE,FALSE
Backstreet Boys,FALSE,FALSE
Digital Underground,TRUE,FALSE
Jerry Lee Lewis,FALSE,FALSE
Pavement,FALSE,FALSE
Beastie Boys,FALSE,FALSE
Faces,FALSE,FALSE
